position,frequency
1051,11315.6982421875
1052,11326.46484375
1053,11337.2314453125
1054,11347.998046875
1055,11358.7646484375
1056,11369.53125
1057,11380.2978515625
1058,11391.064453125
1059,11401.8310546875
1060,11412.59765625
1061,11423.3642578125
1062,11434.130859375
1063,11444.8974609375
1064,11455.6640625
1065,11466.4306640625
1066,11477.197265625
1067,11487.9638671875
1068,11498.73046875
1069,11509.4970703125
1070,11520.263671875
1071,11531.0302734375
1072,11541.796875
1073,11552.5634765625
1074,11563.330078125
1075,11574.0966796875
1076,11584.86328125
1077,11595.6298828125
1078,11606.396484375
1079,11617.1630859375
1080,11627.9296875
1081,11638.6962890625
1082,11649.462890625
1083,11660.2294921875
1084,11670.99609375
1085,11681.7626953125
1086,11692.529296875
1087,11703.2958984375
1088,11714.0625
1089,11724.8291015625
1090,11735.595703125
1091,11746.3623046875
1092,11757.12890625
1093,11767.8955078125
1094,11778.662109375
1095,11789.4287109375
1096,11800.1953125
1097,11810.9619140625
1098,11821.728515625
1099,11832.4951171875
1100,11843.26171875
1101,11854.0283203125
1102,11864.794921875
1103,11875.5615234375
1104,11886.328125
1105,11897.0947265625
1106,11907.861328125
1107,11918.6279296875
1108,11929.39453125
1109,11940.1611328125
1110,11950.927734375
1111,11961.6943359375
1112,11972.4609375
1113,11983.2275390625
1114,11993.994140625
1115,12004.7607421875
1116,12015.52734375
1117,12026.2939453125
1118,12037.060546875
1119,12047.8271484375
1120,12058.59375
1121,12069.3603515625
1122,12080.126953125
1123,12090.8935546875
1124,12101.66015625
1125,12112.4267578125
1126,12123.193359375
1127,12133.9599609375
1128,12144.7265625
1129,12155.4931640625
1130,12166.259765625
1131,12177.0263671875
1132,12187.79296875
1133,12198.5595703125
1134,12209.326171875
1135,12220.0927734375
1136,12230.859375
1137,12241.6259765625
1138,12252.392578125
1139,12263.1591796875
1140,12273.92578125
1141,12284.6923828125
1142,12295.458984375
1143,12306.2255859375
1144,12316.9921875
1145,12327.7587890625
1146,12338.525390625
1147,12349.2919921875
1148,12360.05859375
1149,12370.8251953125
1150,12381.591796875
1151,12392.3583984375
1152,12403.125
1153,12413.8916015625
1154,12424.658203125
1155,12435.4248046875
1156,12446.19140625
1157,12456.9580078125
1158,12467.724609375
1159,12478.4912109375
1160,12489.2578125
1161,12500.0244140625
1162,12510.791015625
1163,12521.5576171875
1164,12532.32421875
1165,12543.0908203125
1166,12553.857421875
1167,12564.6240234375
